company_name,contact,title,website
Children’s National,Anuradha Dayal,Founder,Website https://childrensnational.org/
Clear Ear,Lily Truong,CEO,Website http://www.clearearinc.com
ClearCam,Christopher Idelson,"Co-Founder & VP, Engineering",Website https://www.clearcam-med.com/
CloudCath,Aly ElBadry,CEO & Co-founder,Website http://www.cloudcath.com/
CoapTech,Howard Carolan,CEO,Website http://www.coaptech.com
Cognition Medical,Alexis Turjman,CEO,Website http://www.cognitionmedical.com
CoLabs,Clay Nolan,President,LinkedIn https://www.linkedin.com/in/clay-nolan-6b6a8079/
Conavi Medical,Brian Courtney,CEO,Website http://www.conavi.com LinkedIn https://www.linkedin.com/in/brian-courtney-08ab9421/
ContinUse Biometrics,Asher Polani,CEO,Website https://www.cu-bx.com/ LinkedIn https://www.linkedin.com/in/asher-polani-1092793/
Cor,Bob Messerschmidt,Founder & CEO,Website https://knowyourcor.com/ Twitter https://twitter.com/knowyourcor
coramaze technologies GmbH,Laura Figulla,CEO,Website http://www.coramaze.com/
CroiValve,Lucy O'Keeffe,CEO,Website http://www.croivalve.com LinkedIn https://www.linkedin.com/in/lucy-o-keeffe-9337ba62/
CTRL Labs,Joshua Duyan,CSO,Website https://www.ctrl-labs.com/ LinkedIn https://www.linkedin.com/in/jduyan/
CystoSure / Emmy Medical,Ronald Adams,President,
CytoChip Inc.,Wendian Shi,CEO,
Darmiyan,Padideh Kamali-Zare,CEO,Website https://www.darmiyan.com/ LinkedIn https://www.linkedin.com/in/padideh-kamali-zare-353b2617/
Day Zero Diagnostics,Jong Lee,CEO & Co-Founder,Website http://www.dayzerodiagnostics.com
Decisio Health,Gray Hancock,COO,Website https://www.decisiohealth.com/
Deneb Medical,Artiz Lazkoz,Co-Founder,Website http://www.denebmedical.com/ LinkedIn https://www.linkedin.com/in/aritz-lazkoz-78391753/
Deton,Patrick Sislian,Co-Founder & CEO,Website http://www.detoncorp.com LinkedIn https://www.linkedin.com/in/patricksislian
Diagnostic Photonics,Andrew Cittadine,CEO,Website http://diagnosticphotonics.com/
Disease Diagnostic Group,John Lewandowski,Chief Executive Officer,Website http://www.diseasediagnostic.com
Distal Motion,Michael Friedrich,CEO,Website http://www.distalmotion.ch/ LinkedIn https://www.linkedin.com/in/michaelfriedrich81/
DynamX,Liberty Foreman,CEO,Website http://www.beamlinediagnostics.com LinkedIn https://www.linkedin.com/in/liberty-foreman-a071ba55/
Embolx,Michael Allen,President & CEO,Website http:///www.embolx.com
Emmetrope,Andrew Phillips,CEO and President,Website http://actalens.com
Emovi,Michelle Laflamme,CEO,Website http://www.emovi.ca LinkedIn https://www.linkedin.com/in/michelle-laflamme-b738aa1/
Empirical Spine,Richard Treadwell,President & CEO,Website http://limiflex.com/ LinkedIn https://www.linkedin.com/in/richardtreadwell/
Endeau,John Lyon,CEO,
EndObetes,Marc Bessler,CEO,Website http://endobetes.com
Endotronix,Harry Rowland,CEO,Website http://endotronix.com/ LinkedIn https://www.linkedin.com/in/harrydrowland
EPIC Neuro,Bill Phillips,Founder,
Evergaze,Don Dias,President,Website https://www.seeboost.com/
Eximis Surgical,Kristin Johnson,Co-Founder and CEO,Website http://www.eximissurgical.com/
ExplORer Surgical,Jennifer Fried,CEO,Website http://www.explORersurgical.com
Fibralign Corporation,Greg King,COO,Website http://www.fibralignbio.com
FineHeart,Arnaud Mascarell,CEO,Website http://www.fine-heart.com/ LinkedIn http://linkedin.com/in/arnaud-mascarell-19372b56
"FLI USA, Inc.",Rex Luzader,VP,Website http://www.fliuk.com
Flosonics Medical,Joseph Eibl,Co-Founder & CEO,Website http://www.flosonicsmedical.com
Footbeat,Matt Mayer,CEO,Website http://footbeat.com LinkedIn https://www.linkedin.com/in/mattmayer1
Forest Devices,Steve Morrow,CFO,Website http://www.forestdevices.com
Fosmo Med,Ben Park,CEO and Founder,Website http://www.fosmomed.com
Gauss Surgical,Siddarth Satish,CEO,Website http://www.gausssurgical.com LinkedIn https://www.linkedin.com/in/siddarthsatish/
Genetesis,Peeyush Shrivastava,CEO,Website http://genetesis.com
Glycotest,Lawrence Cohen,CEO,Website http://www.glycotest.com
GNA Biosolutions,Stephanie Campbell,Product Manager,Website https://www.gna-bio.com/
Green Sun Medical,Jamie Haggard,CEO,Website http://www.greensunmedical.com Twitter https://twitter.com/dynamicbrace
GT Medical Technologies,Matthew Likens,President & CEO,Website http://www.gtmedtech.com
Halo Neuroscience,Thomas Griffin,Co-founder and CEO,Website https://www.haloneuro.com/
HD Medical,Arvind Thiagarajan,Founder & CEO,Website http://www.hdmedicalgroup.com
HeadSense Medical,Guy Weinberg,CEO,Website http://www.head-sense-med.com
Health Reveal,Josh Tauber,Head of Business and Client Development,Website https://www.healthreveal.com/
Hemova Medical,Brandon Doan,CEO,Website http://www.hemovamedical.com/
HEPTA Medical,Cécile Dupont,CEO,Website http://mdstart.eu/pages/portfolio_d/9/hepta-medical
Ictero Medical,Matthew Nojoomi,Co-Founder,Website https://www.icteromedical.com/ LinkedIn https://www.linkedin.com/in/matthew-nojoomi-356349b9/
Impleo Medical,Juliana Elstad,President & CEO,Website http://www.impleomedical.com/ LinkedIn https://www.linkedin.com/in/julianaelstad
INBRACE,John Pham,CEO,Website http://www.in-brace.com/
Incereb Ltd.,James Roche,CEO,Website http://www.incereb.com
IntelliDrain,Adam Piotrowski,"Co-Founder, CEO",Website http://www.intellidrain.com
Intensix,Izik Itzhakov,VP BD,Website http://www.intensix.com Twitter https://twitter.com/Intensix_HIT LinkedIn https://www.linkedin.com/company/intensix
IntuiTap,Jessica Traver,CEO,Website http://www.intuitapmedical.com Twitter https://twitter.com/IntuiTapMedical LinkedIn https://www.linkedin.com/company/intuitapmedical-inc.
Ischemia Care,Jeff June,CEO,Website https://ischemicstrokelab.com
KNOX Medical Diagnostics,Charvi Shetty,Founder,
Koya,Andy Doraiswamy,CEO,Website http://www.koyainc.com/
"LensGen, Inc.",Ramgopal Rao,CEO,Website http://www.lensgen.com/
Liberate Medical,Angus Mclachlan,CEO,Website http://www.linkedin.com/in/mclachlanangus/
Life Assist,Jean Anne Booth,CEO,Website http://www.lifassist.com
Lightpoint Medical,David Tuch,CEO/Founder,Website http://www.lightpointmedical.com/
LIM Innovations,Andrew Pedtke MD,CEO,
Linear Health Sciences,Daniel Clark,Co-Founder & CMO,Website http://www.linearsciences.com Twitter https://twitter.com/LinearSciences LinkedIn https://www.linkedin.com/company/linear-health-sciences
Lungpacer Medical,Doug Evans,CEO,Website http://lungpacer.com/
Madorra,Holly Rockweiler,CEO,Website http://www.madorra.com/ LinkedIn https://www.linkedin.com/company/madorra-inc-
Medable,Michelle Longmire,CEO,Website http://medable.com LinkedIn http://linkedin.com/in/michellelongmire
Medasense Biometrics,Galit Zuckerman Stark,CEO,Website https://www.medasense.com/
MedAware,Gidi Stein,CEO,Website http://www.medaware.com
MetaOptima,Maryam Sadeghi,CEO,Website http://metaoptima.com
Mighty Oak Medical,George Frey,Founder,
MiNDERA,Philippe Nore,CEO and Co-founder,Website http://www.minderadx.com
MindMaze,Tej Tadi,Founder,Website http://www.mindmaze.ch/
Miracor Medical Systems,Ludwig Gold,CEO,Website http://www.miracormedical.com/
MitraPlug,Muralidhar Padala,Founder,
MobileODT,Ariel Beery,CEO,Website http://www.mobileodt.com
mOm Incubators,James Roberts,Founder & CEO,Website http://www.momincubators.com/
Moving Analytics,Harsh Vathsangam,CEO,Website http://www.movinganalytics.com
MYO1,Charles Allan,CEO,Website http://www.my01.io/ LinkedIn https://ca.linkedin.com/in/charlesallannxtsens
Nanomix,David Ludvigson,President & CEO,Website http://www.nano.com/
Nanowear,Venk Varadan,Co-founder & CEO,Website http://www.nanowearinc.com
Neural Analytics,Leo Petrossian,CEO,
"NeuroRecovery Technologies, Inc.",Nick Terrafranca,CEO,Website http://www.neurorecoverytechnologies.com/
NeuroSyntek,Dr. Victor Boksha,CEO,
NeuroTronik Limited,Fred McCoy,CEO,
NitiNotes,Raz Bar-On,CEO,LinkedIn https://www.linkedin.com/in/dr-irit-yaniv-6aab985/
NovaGray,Clémence Franc,CEO,Website http://www.nova-gray.com/en/home
Nurep,Paul Schultz,Co-Founder and CEO,Website http://nurep.com/
nView Medical,Cristian Atria,CEO,Website http://www.nviewmed.com/
ODS Medical,Christopher Kent,President & CEO,Website https://odsmed.com LinkedIn https://www.linkedin.com/in/ckentods/
Olfactomics,Antti Roine,CEO,Website https://olfactomics.com/
OncoRes Medical,Katharine Giles,CEO,Website https://www.oncoresmedical.com
Onkos Surgical,Patrick Treacy,CEO,Website https://onkossurgical.com
Orbit Genomics,Dede Willis,President & CEO,Website http://www.OrbitGenomics.com
Osso VR,Justin Barad,CEO,Website http://www.ossovr.com/
palmm,Véronique Peiffer,Co-Founder,
Paragate,Nitai Hanani,CEO,Website http://www.paragate-medical.com LinkedIn https://www.linkedin.com/in/nitai-hanani-7b91b05/
Patch’d,Robert Quinn,Co-Founder & CEO,Website http://www.patchdmedical.com
PEDRA Technology,Whye-Kei Lye,Chief Operations Advisor,
PercuSense,Brian Kannard,CEO,LinkedIn https://www.percusense.com/
PhotoniCare,Ryan Shelton,Co-Founder & CEO,Website http://www.photonicareinc.com LinkedIn https://www.linkedin.com/in/ryan-shelton-92289231
Physcient,Hugh Crenshaw,CEO,Website http://physcient.com/ LinkedIn https://www.linkedin.com/in/hughccrenshaw
"PixelEXX Systems, Inc.",Renee Carder,"VP, Technology",Website http://pixelexx.com
Pnuemonics,Ken Bernstein,CEO,Website http://pneumonics.com LinkedIn www.linkedin.com/in/ken-bernstein-a4791047
404,,,
PreDxion Bio,Walker McHugh,Co-Founder,Website http://www.predxionbio.com Twitter https://twitter.com/PreDxionBio LinkedIn https://www.linkedin.com/company/predxion-diagnostics
404,,,
Pristine Surgical,Bryan Lord,Chief Executive Officer,Website https://www.pristinesurgical.com/
ProDural,Dr. Padraig Cantilon-Murphy,CEO,
Protembis,Conrad Rasmus,Co-CEO,Website https://www.protembis.com
PyrAmes,Seth Rodgers,CEO,Website http://pyrameshealth.com
Respirix,Eric Kriegstein,CEO,Website https://respirix.com
RFPi,Jeffrey Basham,CEO,Website http://www.rfpi-co.com
Rock West Medical Devices,Don Pritchett,CEO,
Rx Assurance,Chris Ennis,"Co-founder, CTO",Website http://www.rxassurance.com
SafeHeal,Anne Osdoit,CEO,Website http://safehealmedical.com LinkedIn https://www.linkedin.com/company/safeheal
Sana Health,Richard Hanbury,CEO,Website http://www.sana.io LinkedIn http://linkedin.com/in/richard-hanbury-796883
Saranas,Zaffer Syed,CEO,Website http://saranas.com/ LinkedIn https://www.linkedin.com/in/zaffer-syed-0854501/
Savonix,Mylea Charvat,CEO,Website http://www.savonix.com
Selio Medical,Colm McGarvey,Co-Founder,
"Shape Memory Therapeutics, Inc.",James Lancaster,CEO,Website http://www.shapemem.com
Silver Medical,James Silver,CEO,
SilverCloud Health,Ken Cahill,CEO,Website http://www.silvercloudhealth.com Twitter https://twitter.com/SilverCloudH LinkedIn https://www.linkedin.com/company/silvercloud-health
Sisu Global Health,Carolyn Yarina,CEO,Website https://sisuglobal.health/
Soletics,Michael Kurley,Co-Founder & CEO,Website https://www.teamsoletics.com/
Somnarus Inc.,Maria Merchant,CEO,
Sonogenix,Michael Dae,CEO,
Sontina Medical,Beto Peliks,President,Website http://www.sontina.com/
Soundbite Medical Solutions,Francis Bellido,CEO,Website https://soundbitemedical.com/ LinkedIn https://www.linkedin.com/in/francis-bellido-8137952/
Spinal Singularity,Derek Herrera,Founder,
Spire,Jonathan Palley,CEO,Website https://spire.io/pages/platform LinkedIn https://www.linkedin.com/in/jpalley/
Spry Health,Pierre-Jean Cobut,Co-founder,Website http://spryhealth.com/ Twitter https://twitter.com/_spryhealth LinkedIn https://www.linkedin.com/company/spryhealth
Starling Surgical,Cyrus Doctor,CEO,Website http://www.starlingsurgical.com
Stoko,,,Website https://www.stoko.ca/ LinkedIn https://www.linkedin.com/company/stokodesign
Strados Labs,Nick Delmonico,Co-Founder,Website http://www.stradoslabs.com LinkedIn https://www.linkedin.com/in/nicksdelmonico/
Subtle Medical,,,
Surgisense Corporation,Jason Zand,President & CEO,Website http://www.surgisense.com/
Surgivisio,Kiko Filipov,Venture Partner,Website http://surgivisio.com/
Tampa Medical Innovations,William Knab,CEO,Website http://www.tami-inc.com
Tasso,Benjamin Casavant,Co-Founder,Website http://www.tassoinc.com LinkedIn https://www.linkedin.com/in/ben-casavant-bb54ab1b/
ThermopeutiX,Ronald Solar,President & CEO,Website http://thermopeutix.com
Tiny Kicks,Michelle Khine,Founder,
toSense,Matthew Banet,President,Website https://www.tosense.com/
TrueCath,Boris Ratiner,CEO,
Tueo Health,Todd Murphy,COO,Website http://www.tueohealth.com/ Twitter https://twitter.com/tueohealth LinkedIn https://www.linkedin.com/company/tueo-health
uBiome,Jessica Richman,CEO,Website http://ubiome.com
V-Sense Medical Devices,Jeffrey Nosanov,CEO,Website http://www.vsensemedical.com LinkedIn https://www.linkedin.com/company/v-sense-medical-devices
Vectorious,Oren Goldshtein,CEO,Website http://vectoriousmedtech.com/
Venari Medical,Stephen Cox,CEO,Website https://venarimedical.com
VerteCore,Paul Leake,"CEO, Founder",Website http://vertecore.com
Vetex Medical,Mark Bruzzi,Founder,
Viderics,Richard Koffler,CEO,Website http://viderics.com/
VitalMedicals,Oliver Aalami,CEO,
Vixiar Medical,Bob Storey,Chairman & CEO,Website http://www.vixiar.com/
Vynca,Rush Bartlett,COO,Website https://demo.vynca.org/
WestFace Medical Devices,Rick Diamond,CEO,Website http://www.westfacemd.com Twitter https://twitter.com/westfacemd
X-COR,Jayon Wang,Co-Founder,Website http://xcortherapeutics.com/ LinkedIn https://www.linkedin.com/in/jayonwang
Yolia Health,Alberto Osio,CEO,Website http://yolia.com/
Zenflow,Nick Damiano,Co-Founder / CEO,Website http://www.zenflow.com/
ZetaGen,David Tischler,Co-Founder & CEO,LinkedIn https://www.linkedin.com/in/david-tischler-0638184/
Zeto,Aswin Gunasekar,CEO,Website http://zeto-inc.com/ LinkedIn https://www.linkedin.com/in/aswingunasekar
404,,,
